user_id,query,dish_id,restaurant_id,user_pref_budget,user_pref_spice,clicked,ordered
1,vegan friendly dinner,776,194,500,medium,1,0
1,vegan friendly dinner,690,173,500,medium,1,1
1,vegan friendly dinner,456,114,500,medium,1,0
1,vegan friendly dinner,670,168,500,medium,0,0
1,vegan friendly dinner,551,138,500,medium,1,1
1,vegan friendly dinner,509,128,500,medium,1,0
1,vegan friendly dinner,13,4,500,medium,1,1
1,vegan friendly dinner,232,58,500,medium,1,0
1,vegan friendly dinner,384,96,500,medium,1,0
1,vegan friendly dinner,203,51,500,medium,1,0
1,biryani under 300 rupees,115,29,500,medium,1,0
1,biryani under 300 rupees,82,21,500,medium,1,1
1,biryani under 300 rupees,586,147,500,medium,0,0
1,biryani under 300 rupees,525,132,500,medium,1,0
1,biryani under 300 rupees,55,14,500,medium,1,1
1,biryani under 300 rupees,274,69,500,medium,0,0
1,biryani under 300 rupees,62,16,500,medium,0,0
1,biryani under 300 rupees,178,45,500,medium,1,1
1,biryani under 300 rupees,771,193,500,medium,1,1
1,biryani under 300 rupees,280,70,500,medium,0,0
1,healthy light dinner option,681,171,500,medium,1,1
1,healthy light dinner option,391,98,500,medium,1,1
1,healthy light dinner option,444,111,500,medium,1,0
1,healthy light dinner option,796,199,500,medium,1,1
1,healthy light dinner option,52,13,500,medium,1,1
1,healthy light dinner option,91,23,500,medium,1,0
1,healthy light dinner option,724,181,500,medium,1,1
1,healthy light dinner option,282,71,500,medium,1,0
1,healthy light dinner option,799,200,500,medium,1,0
1,healthy light dinner option,642,161,500,medium,1,1
1,street food cravings,507,127,500,medium,1,0
1,street food cravings,137,35,500,medium,1,0
1,street food cravings,402,101,500,medium,1,1
1,street food cravings,112,28,500,medium,1,0
1,street food cravings,789,198,500,medium,0,0
1,street food cravings,388,97,500,medium,1,1
1,street food cravings,314,79,500,medium,1,0
1,street food cravings,742,186,500,medium,1,1
1,street food cravings,654,164,500,medium,0,0
1,street food cravings,566,142,500,medium,0,0
1,cheesy comfort food,478,120,500,medium,1,1
1,cheesy comfort food,730,183,500,medium,1,1
1,cheesy comfort food,695,174,500,medium,1,0
1,cheesy comfort food,547,137,500,medium,1,0
1,cheesy comfort food,130,33,500,medium,1,1
1,cheesy comfort food,28,7,500,medium,1,0
1,cheesy comfort food,508,127,500,medium,1,0
1,cheesy comfort food,146,37,500,medium,0,0
1,cheesy comfort food,131,33,500,medium,1,1
1,cheesy comfort food,56,14,500,medium,0,0
1,quick breakfast idea,363,91,500,medium,1,0
1,quick breakfast idea,407,102,500,medium,1,0
1,quick breakfast idea,333,84,500,medium,1,0
1,quick breakfast idea,415,104,500,medium,1,1
1,quick breakfast idea,328,82,500,medium,1,1
1,quick breakfast idea,212,53,500,medium,1,1
1,quick breakfast idea,127,32,500,medium,0,0
1,quick breakfast idea,682,171,500,medium,0,0
1,quick breakfast idea,134,34,500,medium,0,0
1,quick breakfast idea,77,20,500,medium,1,0
1,street food cravings,254,64,500,medium,0,0
1,street food cravings,542,136,500,medium,0,0
1,street food cravings,177,45,500,medium,1,0
1,street food cravings,452,113,500,medium,0,0
1,street food cravings,466,117,500,medium,1,1
1,street food cravings,720,180,500,medium,1,0
1,street food cravings,6,2,500,medium,1,1
1,street food cravings,376,94,500,medium,1,0
1,street food cravings,494,124,500,medium,1,1
1,street food cravings,242,61,500,medium,1,0
1,vegan friendly dinner,242,61,500,medium,1,0
1,vegan friendly dinner,459,115,500,medium,1,1
1,vegan friendly dinner,237,60,500,medium,0,0
1,vegan friendly dinner,97,25,500,medium,1,0
1,vegan friendly dinner,140,35,500,medium,1,0
1,vegan friendly dinner,85,22,500,medium,1,1
1,vegan friendly dinner,411,103,500,medium,1,0
1,vegan friendly dinner,673,169,500,medium,1,0
1,vegan friendly dinner,328,82,500,medium,0,0
1,vegan friendly dinner,634,159,500,medium,0,0
2,cheesy comfort food,561,141,350,mild,1,0
2,cheesy comfort food,355,89,350,mild,1,1
2,cheesy comfort food,571,143,350,mild,1,0
2,cheesy comfort food,777,195,350,mild,1,0
2,cheesy comfort food,76,19,350,mild,1,0
2,cheesy comfort food,652,163,350,mild,1,1
2,cheesy comfort food,531,133,350,mild,1,0
2,cheesy comfort food,498,125,350,mild,0,0
2,cheesy comfort food,37,10,350,mild,1,0
2,cheesy comfort food,172,43,350,mild,1,0
2,biryani under 300 rupees,40,10,350,mild,1,1
2,biryani under 300 rupees,407,102,350,mild,1,1
2,biryani under 300 rupees,46,12,350,mild,1,0
2,biryani under 300 rupees,434,109,350,mild,1,1
2,biryani under 300 rupees,791,198,350,mild,1,0
2,biryani under 300 rupees,107,27,350,mild,1,1
2,biryani under 300 rupees,171,43,350,mild,1,0
2,biryani under 300 rupees,282,71,350,mild,1,0
2,biryani under 300 rupees,28,7,350,mild,0,0
2,biryani under 300 rupees,72,18,350,mild,1,0
2,vegan friendly dinner,746,187,350,mild,1,1
2,vegan friendly dinner,611,153,350,mild,1,0
2,vegan friendly dinner,125,32,350,mild,1,0
2,vegan friendly dinner,336,84,350,mild,1,0
2,vegan friendly dinner,50,13,350,mild,1,1
2,vegan friendly dinner,701,176,350,mild,1,1
2,vegan friendly dinner,661,166,350,mild,1,0
2,vegan friendly dinner,760,190,350,mild,1,1
2,vegan friendly dinner,112,28,350,mild,1,0
2,vegan friendly dinner,205,52,350,mild,1,1
2,cheesy comfort food,106,27,350,mild,0,0
2,cheesy comfort food,78,20,350,mild,1,1
2,cheesy comfort food,663,166,350,mild,1,0
2,cheesy comfort food,176,44,350,mild,0,0
2,cheesy comfort food,182,46,350,mild,0,0
2,cheesy comfort food,330,83,350,mild,1,0
2,cheesy comfort food,127,32,350,mild,0,0
2,cheesy comfort food,207,52,350,mild,0,0
2,cheesy comfort food,204,51,350,mild,1,1
2,cheesy comfort food,192,48,350,mild,0,0
2,quick breakfast idea,622,156,350,mild,1,0
2,quick breakfast idea,25,7,350,mild,0,0
2,quick breakfast idea,512,128,350,mild,1,1
2,quick breakfast idea,624,156,350,mild,1,0
2,quick breakfast idea,148,37,350,mild,1,0
2,quick breakfast idea,375,94,350,mild,1,0
2,quick breakfast idea,256,64,350,mild,1,0
2,quick breakfast idea,331,83,350,mild,1,0
2,quick breakfast idea,355,89,350,mild,1,0
2,quick breakfast idea,346,87,350,mild,1,1
2,something spicy and cheap under 200,545,137,350,mild,0,0
2,something spicy and cheap under 200,547,137,350,mild,1,0
2,something spicy and cheap under 200,448,112,350,mild,1,0
2,something spicy and cheap under 200,483,121,350,mild,0,0
2,something spicy and cheap under 200,378,95,350,mild,1,0
2,something spicy and cheap under 200,305,77,350,mild,1,0
